question,answer
ECG Reservation,"ECG Reservation is applicable for certain product only, SWE L2VPN PP/PMP SH Access, SWE L2VPN PP (Full SH), SWE Port PMP Access and SWE PP/SDS Access"
Definition of Express Mode and AOH,"Siebel must indicate as Express Mode and AOH if any. Express Mode is not equal to AOH. Express Order will be less than standard lead time depend on the PM/AM, how they going to manage ( FE, SHIFT etc )."
How do BDM team handle the termination order or cessation order that is created from ITX system ?,"Termination order or cessation order created in ITX system will be auto convert to suspension order, BDM will need to complete the Suspend order within 3 working days and then the  5th working day only will convert the suspension order to termination order or cessation order. To be deliver by Accenture in phase 3."
Did customer allow to reinstate the termination order or cessation order ? If customer or StarHub accidentally submited the wrong termination order or cessation order.,"Grace period to reuse or retain the SID is 5 working days only, customer cannot reinstate the SID after the grace period 5 working days. "
what is meaning SHIFT02 ?,Changing of RFS date without any action from BDM
"Who is the BDM personnel for ELL, DLC, ISDN30, SDS PP, IPTV product ?","Handle by BDM team, Woon Shire Lee"
"Who is the BDM personnel for SWE, Global IPVPN, Enterprise Internet product ?","Handle by BDM team, Lew Kuo Shian"
"Who is the BDM personnel for Mobile, BB, PSTS, SDS DWS, DCI, SIP, UC product ?","Handle by BDM team, Saw Su Myat"
Suspend Order ?,"Standard grace period for the suspend order is 3 months, after 3 months should receive the Termination Order or Resume Order."
What is BDM's role in Service Delivery,"BDM handles resource assignment for service order, service design and configuration for enterprise transmission and IP layer services in StarHub's infrastructure."
Bandwidth upgrade or downgrade for NC access,Do check with non-res_fulfillment@nucleusconnect.com for any bandwidth related issue.
Does BDM work 24x7 hrs?,"No.  But BDM works after office hour, weekends and holidays on a pre-scheduled basis with 3 days in advance notice only."
What's the definition of parallel relocation and hot relocation?,"Parallel or Hot relocation is defned with respect to customer's end perspective.  For parallel relocation, the new and old circuits can co-exist.  For Hot relocation, only 1 circuit exist at anytime.  "
Can hot relocation raised for SDS DWDS,No Hot relocation for SDS-DWS. Only allow New and Cesase application
Leadtime for SDS DWDS with reservation,21 working days with available cap and ECG reservation. 
Leadtime for SDS DWDS with reservation,will refer the lead time given by planner
Can we set MTU size ,"Default value is already set at 9600bytes, jumbo frame"
Who should i look for if Feasibility Check Result  (FC000xxxxx) failed,To check with tranmission planner or sales op to run capacity check again.
"E2E was not tally with require route for SDS DWDS, how should i proceed","Sales op to issue another ECG reservation, input in Siebel comments to load in SHIFT and email BDM on the changes. "
There are 2 service types available,"There are LAN and WAN, customer to provide the service type during application."
